/home-ex/tclhk/chenww/datasets/t2/225x_add6540_panel_clean/insidePanel/TCSAD/2250_TB9C1896AC_TBAOH800_55_407.224_-894.095_23.7735_20191213_164404.jpg TCSAD  1.0 0.45545977011494254 0.36009615384615384 0.16810344827586207 0.4048076923076923 1.0 0.3139367816091954 0.025 0.06321839080459771 0.04807692307692308 
/home-ex/tclhk/chenww/datasets/t2/225x_add6540_panel_clean/insidePanel/TCSAD/2250_TB9C1877AQ_TBAOH500_232_-836.123_-110.558_16.4905_20191213_130413.jpg TCSAD  1.0 0.5542385057471264 0.5947115384615385 0.0625 0.1451923076923077 
/home-ex/tclhk/chenww/datasets/t2/225x_add6540_panel_clean/insidePanel/TCSAD/2250_TB9A4624AL_TBAOH500_210_545.198_168.184_13.2372_20191101_070955.jpg TCSAD  1.0 0.514367816091954 0.6067307692307693 0.16810344827586207 0.3384615384615385 1.0 0.38110632183908044 0.8759615384615385 0.10129310344827586 0.1326923076923077 
/home-ex/tclhk/chenww/datasets/t2/225x_add6540_panel_clean/insidePanel/TCSAD/2250_TB9C1951AS_TBAOH500_159_-537.109_14.6703_12.6836_20191214_010019.jpg TCSAD  1.0 0.5334051724137931 0.5860576923076923 0.05387931034482758 0.07788461538461539 
/home-ex/tclhk/chenww/datasets/t2/225x_add6540_panel_clean/insidePanel/TCSAD/2250_TB9B1633AA_TBAOH800_69_-130.101_740.818_13.2814_20191113_035007.jpg TCSAD  1.0 0.4780890804597701 0.5384615384615384 0.08548850574712644 0.225 
/home-ex/tclhk/chenww/datasets/t2/225x_add6540_panel_clean/insidePanel/TCSAD/2250_TB9B1474AC_TBAOH500_306_-154.475_-818.408_10.4166_20191111_205555.jpg TCSAD  1.0 0.4920977011494253 0.56875 0.19540229885057472 0.07596153846153846 
/home-ex/tclhk/chenww/datasets/t2/225x_add6540_panel_clean/insidePanel/TCSAD/2250_TB9A3911AR_TBAOH500_76_-279.844_-403.094_349.04_20191028_130300.jpg TCSAD  1.0 0.5014367816091954 0.46875 0.9971264367816092 0.9278846153846154 
/home-ex/tclhk/chenww/datasets/t2/225x_add6540_panel_clean/insidePanel/TCSAD/2250_TB9C1884AA_TBAOH500_182_-475.112_161.177_8.02179_20191213_002456.jpg TCSAD  1.0 0.5596264367816092 0.5721153846153846 0.05172413793103448 0.18076923076923077 
/home-ex/tclhk/chenww/datasets/t2/225x_add6540_panel_clean/insidePanel/TCSAD/2250_TB9A4653AL_TBAOH500_99_731.07_779.999_13.2486_20191102_012411.jpg TCSAD  1.0 0.5301724137931034 0.5658653846153847 0.06752873563218391 0.09711538461538462 1.0 0.5542385057471264 0.6591346153846154 0.0625 0.0375 1.0 0.5765086206896551 0.7384615384615385 0.08405172413793104 0.06153846153846154 1.0 0.6185344827586207 0.8317307692307693 0.11781609195402298 0.05961538461538462 
/home-ex/tclhk/chenww/datasets/t2/225x_add6540_panel_clean/insidePanel/TCSAD/2250_TB9A4748AL_TBAOH800_199_-398.507_1034.2_9.62792_20191103_052832.jpg TCSAD  1.0 0.48778735632183906 0.4745192307692308 0.0603448275862069 0.05673076923076923 1.0 0.6246408045977011 0.27403846153846156 0.11422413793103449 0.028846153846153848 1.0 0.5377155172413793 0.3735576923076923 0.08261494252873564 0.09711538461538462 
/home-ex/tclhk/chenww/datasets/t2/225x_add6540_panel_clean/insidePanel/TCSAD/2250_TB9A4165AB_TBAOH500_4_482.714_1126.15_9.77632_20191029_055344.jpg TCSAD  1.0 0.48635057471264365 0.4942307692307692 0.07471264367816093 0.13076923076923078 
/home-ex/tclhk/chenww/datasets/t2/225x_add6540_panel_clean/insidePanel/TCSAD/2250_TB9C2147AG_TBAOH500_67_-451.183_250.925_31.3122_20191214_135343.jpg TCSAD  1.0 0.641882183908046 0.37451923076923077 0.5826149425287356 0.6548076923076923 
