/home-ex/tclhk/chenww/datasets/t2/20200120_3000_panel_clean/insidePanel_finetune_bbox/TCPIA/2250_TB011389AT_TBAOH800_262_-1043.62_488.993_9.79784_20200110_204918.jpg TCPIA  1.0 0.5208333333333334 0.4826923076923077 0.035919540229885055 0.04807692307692308 
/home-ex/tclhk/chenww/datasets/t2/20200120_3000_panel_clean/insidePanel_finetune_bbox/TGGS0/2250_TB011535AN_TBAOH800_89_196.091_426.834_12.6317_20200111_144043.jpg TGGS0  1.0 0.4551005747126437 0.5375 0.022270114942528736 0.07692307692307693 
/home-ex/tclhk/chenww/datasets/t2/20200120_3000_panel_clean/insidePanel_finetune_bbox/TCOTS/2250_TB011277AV_TBAOH500_1_405.4_922.844_23.3225_20200109_211036.jpg TCOTS  1.0 0.45689655172413796 0.5129807692307693 0.05459770114942529 0.09711538461538462 
/home-ex/tclhk/chenww/datasets/t2/20200120_3000_panel_clean/insidePanel_finetune_bbox/TCSAD/2250_TB011076AE_TBAOH500_154_825.477_564.553_9.78894_20200108_132016.jpg TCSAD  1.0 0.5513649425287357 0.5841346153846153 0.07399425287356322 0.08557692307692308 
/home-ex/tclhk/chenww/datasets/t2/20200120_3000_panel_clean/insidePanel_finetune_bbox/TCPIA/2250_TB011966AS_TBAOH500_306_463.199_474.044_9.79739_20200113_192659.jpg TCPIA  1.0 0.4989224137931034 0.5110576923076924 0.029454022988505746 0.0375 
/home-ex/tclhk/chenww/datasets/t2/20200120_3000_panel_clean/insidePanel_finetune_bbox/TGGS0/2250_TB011076AV_TBAOH500_441_153.618_-239.35_10.5791_20200108_133752.jpg TGGS0  1.0 0.5100574712643677 0.37115384615384617 0.033045977011494254 0.051923076923076926 
/home-ex/tclhk/chenww/datasets/t2/20200120_3000_panel_clean/insidePanel_finetune_bbox/TGGS0/2250_TB012106AL_TBAOH800_547_-703.607_-1160.08_12.1253_20200114_114924.jpg TGGS0  1.0 0.509698275862069 0.43846153846153846 0.036637931034482756 0.032692307692307694 
/home-ex/tclhk/chenww/datasets/t2/20200120_3000_panel_clean/insidePanel_finetune_bbox/TCOTS/2250_TB011220AP_TBAOH800_103_-579.66_-736.143_5.07109_20200109_044823.jpg TCOTS  1.0 0.7474856321839081 0.6586538461538461 0.02514367816091954 0.04423076923076923 
/home-ex/tclhk/chenww/datasets/t2/20200120_3000_panel_clean/insidePanel_finetune_bbox/TCPIA/2250_TB011108AP_TBAOH800_109_660.575_1147.27_12.0347_20200109_070117.jpg TCPIA  1.0 0.47198275862068967 0.4653846153846154 0.035919540229885055 0.046153846153846156 
/home-ex/tclhk/chenww/datasets/t2/20200120_3000_panel_clean/insidePanel_finetune_bbox/TCSAD/2250_TB012006AE_TBAOH500_180_-320.196_242.375_13.888_20200114_073650.jpg TCSAD  1.0 0.5255028735632185 0.5860576923076922 0.05531609195402299 0.0875 
/home-ex/tclhk/chenww/datasets/t2/20200120_3000_panel_clean/insidePanel_finetune_bbox/TCOTS/2250_TB011352AM_TBAOH500_111_-1037.08_-999.155_9.35045_20200110_232715.jpg TCOTS  1.0 0.5416666666666667 0.49759615384615385 0.02586206896551724 0.0375 
/home-ex/tclhk/chenww/datasets/t2/20200120_3000_panel_clean/insidePanel_finetune_bbox/TSDFS/2250_TB011220AR_TBAOH800_202_-314.766_-118.366_14.4142_20200109_045103.jpg TSDFS  1.0 0.5459770114942528 0.5317307692307692 0.10488505747126436 0.12884615384615383 
