/home-ex/tclhk/chenww/datasets/t2/temp2/train/TCFBB/4300_TB971899AU_TBAOL4C0_24_422.195_-1139.708__S_20190721_170358.JPG TCFBB 1.0 0.497070 0.496094 0.037109 0.049479
/home-ex/tclhk/chenww/datasets/t2/temp2/train/TCFBB/4300_TB975339AP_TBAOL5C0_5_258.387_706.074__S_20190807_154908.JPG TCFBB 1.0 0.613770 0.412109 0.049805 0.061198
/home-ex/tclhk/chenww/datasets/t2/temp2/train/TFOTS/4300_TB992053AC_TBAOL5C0_1_-523.899_1142.964__O_20190920_034754.JPG TFOTS 1.0 0.699219 0.339193 0.035156 0.235677
/home-ex/tclhk/chenww/datasets/t2/temp2/train/TPDPD/4300_TB972677AT_TBAOL4C0_5_-212.604_15.316__L_20190722_182339.JPG TPDPD 1.0 0.566895 0.412760 0.145508 0.156250
/home-ex/tclhk/chenww/datasets/t2/temp2/train/TCFBB/4300_TB975413AD_TBAOL4C0_1_-411.363_987.927__M_20190807_052414.JPG TCFBB 1.0 0.518066 0.393229 0.063477 0.065104
/home-ex/tclhk/chenww/datasets/t2/temp2/train/TPDPD/4300_TB975460AR_TBAOL4C0_1_-603.291_224.219__M_20190807_131747.JPG TPDPD 1.0 0.438477 0.610026 0.050781 0.074219
/home-ex/tclhk/chenww/datasets/t2/temp2/train/TFOTS/4300_TB991764BC_TBAOLBC0_39_-754.183_-711.494__M_20190919_124808.JPG TFOTS 1.0 0.413086 0.413411 0.048828 0.063802
/home-ex/tclhk/chenww/datasets/t2/temp2/train/TCPIB/4300_TB972046BA_TBAOL4C0_24_391.345_-1149.188__S_20190722_114552.JPG TCPIB 1.0 0.487305 0.507161 0.023438 0.029948
/home-ex/tclhk/chenww/datasets/t2/temp2/train/TDINR/4300_TB991571AF_TBAOL5C0_1_-549.673_568.588__O_20190916_190146.JPG TDINR 1.0 0.661621 0.322266 0.174805 0.381510
/home-ex/tclhk/chenww/datasets/t2/temp2/train/TFFME/4300_TB9C1342AY_TBAOLAC0_441_-113.804_-697.357__L_20191215_080815.JPG TFFME 1.0 0.750488 0.565755 0.133789 0.188802
/home-ex/tclhk/chenww/datasets/t2/temp2/train/TCPIB/4300_TB972485AH_TBAOL4C0_6_931.560_935.210__M_20190722_065203.JPG TCPIB 1.0 0.547363 0.646484 0.063477 0.079427
/home-ex/tclhk/chenww/datasets/t2/temp2/train/TCFBB/4300_TB980006AW_TBAOL5C0_1_-886.376_295.222__S_20190808_092452.JPG TCFBB 1.0 0.544434 0.648438 0.032227 0.059896
/home-ex/tclhk/chenww/datasets/t2/temp2/train/TPDPD/4300_TB972666AJ_TBAOL4C0_21_629.455_775.385__M_20190722_174335.JPG TPDPD 1.0 0.633789 0.600911 0.058594 0.058594
/home-ex/tclhk/chenww/datasets/t2/temp2/train/TSILR/4300_TB975181AV_TBAOL4C0_20_-335.837_-965.977__O_20190807_061010.JPG TSILR 1.0 0.450195 0.662109 0.148438 0.313802
/home-ex/tclhk/chenww/datasets/t2/temp2/train/TCPIB/4300_TB972493AK_TBAOL4C0_15_-897.428_-438.087__S_20190722_015854.JPG TCPIB 1.0 0.478516 0.323568 0.029297 0.035156
/home-ex/tclhk/chenww/datasets/t2/temp2/train/TPOTS/4300_TB975634AH_TBAOL4C0_7_-551.552_-915.042__M_20190808_175026.JPG TPOTS 1.0 0.510742 0.692057 0.031250 0.048177
/home-ex/tclhk/chenww/datasets/t2/temp2/train/TFFME/4300_TB9C4865AY_TBAOLAC0_99_-294.870_-880.446__L_20200107_032032.JPG TFFME 1.0 0.509766 0.560547 0.175781 0.240885
/home-ex/tclhk/chenww/datasets/t2/temp2/train/TCFBB/4300_TB972482AD_TBAOL4C0_15_-842.474_-531.963__M_20190721_184126.JPG TCFBB 1.0 0.544434 0.283854 0.067383 0.067708
/home-ex/tclhk/chenww/datasets/t2/temp2/train/TPDPS/4300_TB9B4890AT_TBAOL5C0_18_-964.776_-1180.588__O_20191205_105009.JPG TPDPS 1.0 0.487793 0.475911 0.430664 0.295573
/home-ex/tclhk/chenww/datasets/t2/temp2/train/TCPIB/4300_TB972478BB_TBAOL4C0_20_-764.520_-623.438__M_20190722_004408.JPG TCPIB 1.0 0.503418 0.243490 0.030273 0.036458
/home-ex/tclhk/chenww/datasets/t2/temp2/train/TCPIB/4300_TB972495AY_TBAOL4C0_2_185.554_330.613__M_20190722_020609.JPG TCPIB 1.0 0.561035 0.336589 0.024414 0.029948
